    ccyy   conc_dhi_dhi   conc_dhi_hmc_wor   conc_dhi_hmc_wor_pred   conc_dhi_inc_5_ours_wor   conc_dhi_inc_5_ours_wor_pred   conc_dhi_tax_eff_ours_wor   conc_dhi_tax_eff_ours_wor_pred   gini_dhi_scope_hmc   gini_inc2   gini_inc3   gini_inc_5_ours_wor   gini_inc_5_ours_wor_pred   mean_dhi   mean_hmc_wor_pred_scaled   mean_hmc_wor_scaled   mean_scope   varlog_dhi   varlog_inc1   varlog_inc2   varlog_inc3   varlog_inc4   varlog_inc_5_ours   varlog_inc_5_ours_pred   varlog_inc_5_ours_wor   varlog_inc_5_ours_wor_pred  
    si99       .2319706           .1607956                .1359205                  .2538154                         .26145                    .1607956                         .1359205             .2319706           .           .              .2699448                   .2837464    1561321                    1444997               1444997     .9997312     .2118292             .             .             .             .            .2965144                   .38538                .2966532                     .3982343  
    si04       .2310954           .1752525                .1392922                   .246985                       .2572172                    .1752525                         .1392922             .2310954           .           .              .2618931                   .2748026    2426518                    2201347               2201347     .9997569     .2106003             .             .             .             .            .2813087                 .3510019                .2808343                     .3549861  
    si07       .2284791           .1732509                .1297584                   .244067                       .2563426                    .1732509                         .1297584             .2284791           .           .              .2573479                   .2736151   12017.57                   10641.34              10641.34     .9513891      .203417             .             .             .             .            .2734936                 .3486716                .2867969                     .3491716  
    si10       .2514905           .1748817                .1445561                  .2732033                       .2817984                    .1748817                         .1445561             .2514905           .           .              .2851115                   .2970097   13765.36                   12608.96              12608.96     .9502816      .313441             .             .             .             .             .378154                 .4076281                .3588452                     .4084721  
    si12       .2710829           .1472688                .1318397                  .3076244                        .312178                    .1472688                         .1318397             .2710829           .           .              .3189945                   .3271884   14571.81                   13667.76              13667.76            1     .2964201             .             .             .             .            .4848938                 .4574522                .4656265                     .4582194  
    za12       .6072714           .4986001                       .                         .                              .                           .                                .             .6072714           .           .                     .                          .   40819.94                          0                     0     .9283788     1.318522             .             .             .      1.301982            1.486014                 1.549929                       .                            .  
    es80       .3202889           .2025293                       .                         .                              .                           .                                .             .3202889           .           .                     .                          .   348777.9                          0                     0     .9988666     .3809513             .             .             .             .                   .                        .                       .                            .  
    es85       .3149794           .2105502                       .                         .                              .                           .                                .             .3149794           .           .                     .                          .   599561.3                          0                     0     .9937432     .3626249             .             .             .             .                   .                        .                       .                            .  
    es90       .3039566           .1799955                       .                         .                              .                           .                                .             .3039566           .           .                     .                          .    1042807                          0                     0     .9985426     .3427066             .             .             .             .                   .                        .                       .                            .  
    es07       .3045864                  .                .1646025                         .                       .3308546                           .                         .1646025                    .    .3559348    .3373479                     .                   .3367724   16846.41                   16218.86                     0     .9771234     .4236491      2.477777      .7307799      .4968379      .4275067                   .                 .5257497                       .                     .5356637  
    es10       .3292949                  .                .1687244                         .                       .3542358                           .                         .1687244                    .    .3947915    .3664213                     .                   .3578986   16350.57                   14739.25                     0     .9570735     .5478725       2.08772      .8148397      .6241106      .5605527                   .                 .6128895                       .                     .5952008  
    es13       .3406728                  .                 .173574                         .                       .3707889                           .                          .173574                    .    .4163807    .3839227                     .                   .3756626   17556.52                   15919.57                     0     .9845782     .5396023       2.57564       1.03904      .6700701       .537031                   .                  .664421                       .                     .6679105  
    se00       .2555394                  .                 .148056                         .                       .2865761                           .                          .148056                    .    .3754797    .3210541                     .                   .3076633   168684.3                   152919.8                     0     .9985254     .2418813      4.091702      .9237154      .4036766      .2418813                   .                 .4219197                       .                     .4140017  
    ch00        .283451           .1756042                       .                         .                              .                           .                                .              .283451           .           .                     .                          .   49387.21                          0                     0     .9972599     .2930992             .             .             .      .2934572            .3326595                 .3220237                       .                            .  
    ch02       .2708651           .1719326                       .                         .                              .                           .                                .             .2708651           .           .                     .                          .   52155.59                          0                     0     .9965262     .2562143             .             .             .      .2561929            .3026351                 .2946188                       .                            .  
    ch04       .2628068           .1591944                       .                         .                              .                           .                                .             .2628068           .           .                     .                          .   50353.64                          0                     0     .9933079     .2775771             .             .             .       .277744            .2998127                 .3070907                       .                            .  
    ch07       .3130672                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .   58082.12                          0                     0     .9946447     .3715367             .             .             .      .3722352                   .                 .4286463                       .                            .  
    ch10        .297804                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .   60226.64                          0                     0     .9963421      .311167             .             .             .        .31366                   .                 .3650738                       .                            .  
    ch13       .2955981                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .   60948.77                          0                     0     .9992617     .2876161             .             .             .      .2886201                   .                 .3299453                       .                            .  
