   ccyy   agecat      hmc_q      dhi_q   hmchous_q   hmc_medianized_predict_q   hmc_wor_pred_scaled_q  
    nl13        1          .   17716.88    4759.512                   1.032946                19567.36  
    nl13       30          .   25895.46     2871.92                   1.107099                22037.69  
    nl13       50          .   28736.48    3203.354                   1.179577                23411.88  
    nl13       65          .   24353.44    4208.232                   1.031782                19806.27  
    pa10        1          .   3757.102    245.9191                   1.090064                       .  
    pa10       30          .   4830.758    118.1735                   1.275843                       .  
    pa10       50          .   6616.221    77.91682                   1.535549                       .  
    pa10       65          .   5710.652    42.02673                   1.291215                       .  
    pa13        1          .   5590.226    496.6507                   1.201482                       .  
    pa13       30          .   6572.172    166.1736                    1.35293                       .  
    pa13       50          .   8351.774     111.728                   1.527661                       .  
    pa13       65          .   6827.019    55.76954                   1.213323                       .  
    pe04        1   4228.388   5740.272    584.8405                   1.124761                       .  
    pe04       30   5036.782   6685.091    519.8864                   1.328071                       .  
    pe04       50   6076.132   8263.174    653.2615                   1.530378                       .  
    pe04       65   5470.828   7552.644    634.3906                   1.408052                       .  
    pe07        1    5272.08   6076.776    605.1323                   1.015971                       .  
    pe07       30   6720.256   8457.313    640.4025                   1.297908                       .  
    pe07       50   7930.606   11040.59    660.5127                   1.572075                       .  
    pe07       65   7108.156   10363.26    659.5606                   1.444989                       .  
    pe10        1   7422.703   9024.019    881.5839                   1.097174                       .  
    pe10       30   8225.277   10747.27    755.5861                   1.244314                       .  
    pe10       50   9467.188   13444.98    743.4796                   1.445508                       .  
    pe10       65   8214.043   11643.94    720.7249                   1.258848                       .  
    pe13        1   9450.604   11375.66    1520.665                   1.152963                       .  
    pe13       30   9567.747   12466.56     916.813                   1.201672                       .  
    pe13       50    10664.3   15859.07     938.518                   1.413151                       .  
    pe13       65   9306.182   14231.42     985.425                   1.266799                       .  
    pl04        1          .   14819.89     763.366                    1.08472                13981.28  
    pl04       30          .   15123.85    789.4742                   1.107278                14268.23  
    pl04       50          .   16031.74    933.0349                   1.180028                15171.48  
    pl04       65          .   14205.69    825.6802                   .9796198                 12575.8  
    pl07        1   18318.11   21802.73    4961.497                   1.257246                20810.89  
    pl07       30   15947.42   18859.42    4410.953                    1.15206                 19080.1  
    pl07       50   14148.73   18470.31    4078.747                   1.041733                17246.03  
    pl07       65   10433.21   13825.69      3093.3                    .659337                10876.39  
    pl10        1   22744.23   27810.88     7198.61                   1.270277                27541.25  
    pl10       30   22434.94   28643.75    6442.618                   1.263757                27442.23  
    pl10       50   18551.43   23378.58    5733.787                    1.02441                22214.75  
