   ccyy   dhi_quantiles      hmc_q      dhi_q   hmchous_q   hmc_medianized_predict_q   hmc_wor_pred_scaled_q  
    ch07              90          .   93843.39    14548.15                   1.577337                       .  
    ch07              91          .   97035.75     14866.8                   1.592025                       .  
    ch07              92          .   100080.2    15732.76                   1.658395                       .  
    ch07              93          .   104109.8    15328.32                   1.619488                       .  
    ch07              94          .   109279.1    16486.01                   1.712497                       .  
    ch07              95          .   115278.8    16836.84                   1.792316                       .  
    ch07              96          .   122419.5    16180.15                   1.772291                       .  
    ch07              97          .   132923.7    17926.33                   1.881681                       .  
    ch07              98          .   144821.9    17333.62                   1.982259                       .  
    ch07              99          .   175434.8    18668.27                   2.227169                       .  
    ch07             100          .   356371.5    25179.31                   3.157578                       .  
    ch10               1          .   7694.052    7806.608                    .758229                       .  
