"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","2015","2015","EUR","Euro","6","Millions",,,416701.4,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","2016","2016","EUR","Euro","6","Millions",,,430085.3,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","2017","2017","EUR","Euro","6","Millions",,,445050.1,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","2018","2018","EUR","Euro","6","Millions",,,460029.4,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,478160.7,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","2020","2020","EUR","Euro","6","Millions",,,456892.9,"P","Provisional value"
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","C","Current prices","2021","2021","EUR","Euro","6","Millions",,,506950.4,"P","Provisional value"
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1972","1972","CAD","Canadian Dollar","6","Millions",,,111940.684,"E","Estimated value"
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1973","1973","CAD","Canadian Dollar","6","Millions",,,131334.991,"E","Estimated value"
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1974","1974","CAD","Canadian Dollar","6","Millions",,,156879.706,"E","Estimated value"
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1975","1975","CAD","Canadian Dollar","6","Millions",,,176823.975,"E","Estimated value"
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1976","1976","CAD","Canadian Dollar","6","Millions",,,203683.507,"E","Estimated value"
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1977","1977","CAD","Canadian Dollar","6","Millions",,,225049.529,"E","Estimated value"
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1978","1978","CAD","Canadian Dollar","6","Millions",,,249394.512,"E","Estimated value"
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1979","1979","CAD","Canadian Dollar","6","Millions",,,284734.661,"E","Estimated value"
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1980","1980","CAD","Canadian Dollar","6","Millions",,,320189.894,"E","Estimated value"
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1981","1981","CAD","Canadian Dollar","6","Millions",,,367121,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1982","1982","CAD","Canadian Dollar","6","Millions",,,386773,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1983","1983","CAD","Canadian Dollar","6","Millions",,,419691,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1984","1984","CAD","Canadian Dollar","6","Millions",,,460243,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1985","1985","CAD","Canadian Dollar","6","Millions",,,498075,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1986","1986","CAD","Canadian Dollar","6","Millions",,,524450,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1987","1987","CAD","Canadian Dollar","6","Millions",,,571926,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1988","1988","CAD","Canadian Dollar","6","Millions",,,624401,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1989","1989","CAD","Canadian Dollar","6","Millions",,,669026,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1990","1990","CAD","Canadian Dollar","6","Millions",,,692997,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1991","1991","CAD","Canadian Dollar","6","Millions",,,699253,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1992","1992","CAD","Canadian Dollar","6","Millions",,,716019,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1993","1993","CAD","Canadian Dollar","6","Millions",,,744608,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1994","1994","CAD","Canadian Dollar","6","Millions",,,789507,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1995","1995","CAD","Canadian Dollar","6","Millions",,,828973,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1996","1996","CAD","Canadian Dollar","6","Millions",,,857023,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1997","1997","CAD","Canadian Dollar","6","Millions",,,906895,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1998","1998","CAD","Canadian Dollar","6","Millions",,,940539,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1999","1999","CAD","Canadian Dollar","6","Millions",,,1007917,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2000","2000","CAD","Canadian Dollar","6","Millions",,,1106063,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2001","2001","CAD","Canadian Dollar","6","Millions",,,1144535,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2002","2002","CAD","Canadian Dollar","6","Millions",,,1193687,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2003","2003","CAD","Canadian Dollar","6","Millions",,,1254742,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2004","2004","CAD","Canadian Dollar","6","Millions",,,1335724,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2005","2005","CAD","Canadian Dollar","6","Millions",,,1421573,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2006","2006","CAD","Canadian Dollar","6","Millions",,,1496574,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2007","2007","CAD","Canadian Dollar","6","Millions",,,1577660,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2008","2008","CAD","Canadian Dollar","6","Millions",,,1657040,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2009","2009","CAD","Canadian Dollar","6","Millions",,,1571334,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2010","2010","CAD","Canadian Dollar","6","Millions",,,1666046,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2011","2011","CAD","Canadian Dollar","6","Millions",,,1774063,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2012","2012","CAD","Canadian Dollar","6","Millions",,,1827205,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2013","2013","CAD","Canadian Dollar","6","Millions",,,1902249,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2014","2014","CAD","Canadian Dollar","6","Millions",,,1994897,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2015","2015","CAD","Canadian Dollar","6","Millions",,,1990442,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2016","2016","CAD","Canadian Dollar","6","Millions",,,2025533,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2017","2017","CAD","Canadian Dollar","6","Millions",,,2140641,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2018","2018","CAD","Canadian Dollar","6","Millions",,,2235672,,
