"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","2003","2003","AUD","Australian Dollar","6","Millions",,,98925,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","2004","2004","AUD","Australian Dollar","6","Millions",,,105972,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","2005","2005","AUD","Australian Dollar","6","Millions",,,113905,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","2006","2006","AUD","Australian Dollar","6","Millions",,,123377,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","2007","2007","AUD","Australian Dollar","6","Millions",,,134963,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","2008","2008","AUD","Australian Dollar","6","Millions",,,148181,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","2009","2009","AUD","Australian Dollar","6","Millions",,,159953,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","2010","2010","AUD","Australian Dollar","6","Millions",,,171846,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","2011","2011","AUD","Australian Dollar","6","Millions",,,184457,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","2012","2012","AUD","Australian Dollar","6","Millions",,,195978,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","2013","2013","AUD","Australian Dollar","6","Millions",,,205589,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","2014","2014","AUD","Australian Dollar","6","Millions",,,213363,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","2015","2015","AUD","Australian Dollar","6","Millions",,,220277,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","2016","2016","AUD","Australian Dollar","6","Millions",,,228349,,
"AUT","Austria","P31CP041","Actual rentals for housing","C","Current prices","1995","1995","EUR","Euro","6","Millions",,,2913.51,,
"AUT","Austria","P31CP041","Actual rentals for housing","C","Current prices","1996","1996","EUR","Euro","6","Millions",,,3033.97,,
"AUT","Austria","P31CP041","Actual rentals for housing","C","Current prices","1997","1997","EUR","Euro","6","Millions",,,3081.07,,
"AUT","Austria","P31CP041","Actual rentals for housing","C","Current prices","1998","1998","EUR","Euro","6","Millions",,,3143.64,,
"AUT","Austria","P31CP041","Actual rentals for housing","C","Current prices","1999","1999","EUR","Euro","6","Millions",,,3223.43,,
"AUT","Austria","P31CP041","Actual rentals for housing","C","Current prices","2000","2000","EUR","Euro","6","Millions",,,3232.58,,
"AUT","Austria","P31CP041","Actual rentals for housing","C","Current prices","2001","2001","EUR","Euro","6","Millions",,,3282.81,,
"AUT","Austria","P31CP041","Actual rentals for housing","C","Current prices","2002","2002","EUR","Euro","6","Millions",,,3451.43,,
"AUT","Austria","P31CP041","Actual rentals for housing","C","Current prices","2003","2003","EUR","Euro","6","Millions",,,3503.86,,
"AUT","Austria","P31CP041","Actual rentals for housing","C","Current prices","2004","2004","EUR","Euro","6","Millions",,,3703.25,,
"AUT","Austria","P31CP041","Actual rentals for housing","C","Current prices","2005","2005","EUR","Euro","6","Millions",,,4043,,
"AUT","Austria","P31CP041","Actual rentals for housing","C","Current prices","2006","2006","EUR","Euro","6","Millions",,,4264.63,,
"AUT","Austria","P31CP041","Actual rentals for housing","C","Current prices","2007","2007","EUR","Euro","6","Millions",,,4421.08,,
